sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold
137,scored_log,1778300172.341000,1778300172.353000,10068,10117,50,0.0006562687,0,benign,0.5
138,scored_log,1778300172.346000,1778300172.358000,10078,10127,50,0.0010856687,0,benign,0.5
139,scored_log,1778300172.348000,1778300172.364000,10088,10137,50,0.0010434039,0,benign,0.5
140,scored_log,1778300172.350000,1778300172.367000,10098,10147,50,0.00080105057,0,benign,0.5
141,scored_log,1778300172.351000,1778300172.369000,10108,10157,50,0.0012986554,0,benign,0.5
142,scored_log,1778300172.353000,1778300172.371000,10118,10167,50,0.0007141304,0,benign,0.5
143,scored_log,1778300172.358000,1778300173.377000,10128,10177,50,0.004447438,0,benign,0.5
144,scored_log,1778300172.364000,1778300173.377000,10138,10187,50,0.0083002485,0,benign,0.5
145,scored_log,1778300172.367000,1778300173.378000,10148,10197,50,0.009552828,0,benign,0.5
146,scored_log,1778300172.369000,1778300176.383000,10158,10207,50,0.0007833048,0,benign,0.5
147,scored_log,1778300172.372000,1778300178.394000,10168,10217,50,0.010904204,0,benign,0.5
148,scored_log,1778300173.377000,1778300178.394000,10178,10227,50,0.012944564,0,benign,0.5
149,scored_log,1778300173.377000,1778300178.395000,10188,10237,50,0.012944419,0,benign,0.5
150,scored_log,1778300173.378000,1778300178.401000,10198,10247,50,0.00043540075,0,benign,0.5
151,scored_log,1778300176.385000,1778300178.410000,10208,10257,50,0.00026434922,0,benign,0.5
152,scored_log,1778300178.394000,1778300178.419000,10218,10267,50,0.00023650624,0,benign,0.5
153,scored_log,1778300178.394000,1778300178.429000,10228,10277,50,0.00021972135,0,benign,0.5
154,scored_log,1778300178.395000,1778300178.438000,10238,10287,50,0.00021058609,0,benign,0.5
155,scored_log,1778300178.402000,1778300178.447000,10248,10297,50,0.00020873576,0,benign,0.5
156,scored_log,1778300178.411000,1778300178.457000,10258,10307,50,0.00020873475,0,benign,0.5
157,scored_log,1778300178.421000,1778300178.469000,10268,10317,50,0.00020826778,0,benign,0.5
158,scored_log,1778300178.429000,1778300178.480000,10278,10327,50,0.00020867864,0,benign,0.5
159,scored_log,1778300178.439000,1778300178.492000,10288,10337,50,0.00020877438,0,benign,0.5
160,scored_log,1778300178.449000,1778300178.505000,10298,10347,50,0.00020822092,0,benign,0.5
161,scored_log,1778300178.459000,1778300178.517000,10308,10357,50,0.00020810301,0,benign,0.5
162,scored_log,1778300178.470000,1778300178.529000,10318,10367,50,0.00020825508,0,benign,0.5
163,scored_log,1778300178.482000,1778300178.529000,10328,10377,50,0.000522751,0,benign,0.5
164,scored_log,1778300178.494000,1778300178.529000,10338,10387,50,0.0006599777,0,benign,0.5
165,scored_log,1778300178.507000,1778300179.534000,10348,10397,50,0.0036974838,0,benign,0.5
166,scored_log,1778300178.519000,1778300179.544000,10358,10407,50,0.00026788196,0,benign,0.5
167,scored_log,1778300178.529000,1778300182.549000,10368,10417,50,0.0046576383,0,benign,0.5
168,scored_log,1778300178.529000,1778300182.549000,10378,10427,50,0.008329242,0,benign,0.5
169,scored_log,1778300178.531000,1778300182.552000,10388,10437,50,0.009560393,0,benign,0.5
170,scored_log,1778300179.536000,1778300182.558000,10398,10447,50,0.00659162,0,benign,0.5
171,scored_log,1778300179.545000,1778300182.566000,10408,10457,50,0.00047023033,0,benign,0.5
172,scored_log,1778300182.549000,1778300187.574000,10418,10467,50,0.0054049436,0,benign,0.5
173,scored_log,1778300182.549000,1778300187.575000,10428,10477,50,0.0076883975,0,benign,0.5
174,scored_log,1778300182.552000,1778300187.577000,10438,10487,50,0.0091607375,0,benign,0.5
175,scored_log,1778300182.559000,1778300187.580000,10448,10497,50,0.010304536,0,benign,0.5
176,scored_log,1778300182.567000,1778300187.580000,10458,10507,50,0.016573256,0,benign,0.5
177,scored_log,1778300187.574000,1778300187.581000,10468,10517,50,0.019965839,0,benign,0.5
178,scored_log,1778300187.575000,1778300187.588000,10478,10527,50,0.0035128386,0,benign,0.5
179,scored_log,1778300187.577000,1778300187.589000,10488,10537,50,0.0042430614,0,benign,0.5
180,scored_log,1778300187.580000,1778300187.597000,10498,10547,50,0.0070520556,0,benign,0.5
181,scored_log,1778300187.580000,1778300187.598000,10508,10557,50,0.004889972,0,benign,0.5
182,scored_log,1778300187.581000,1778300187.599000,10518,10567,50,0.05711556,0,benign,0.5
183,scored_log,1778300187.589000,1778300189.618000,10528,10577,50,0.8170922,1,malicious,0.5
184,scored_log,1778300187.589000,1778300189.618000,10538,10587,50,0.81403416,1,malicious,0.5
185,scored_log,1778300187.597000,1778300189.623000,10548,10597,50,0.26858595,0,benign,0.5
186,scored_log,1778300187.598000,1778300189.624000,10558,10607,50,0.13145506,0,benign,0.5
187,scored_log,1778300187.601000,1778300189.625000,10568,10617,50,0.100010514,0,benign,0.5
188,scored_log,1778300189.618000,1778300191.645000,10578,10627,50,0.56884915,1,malicious,0.5
189,scored_log,1778300189.618000,1778300191.646000,10588,10637,50,0.8137895,1,malicious,0.5
190,scored_log,1778300189.623000,1778300191.652000,10598,10647,50,0.2139606,0,benign,0.5
191,scored_log,1778300189.624000,1778300191.653000,10608,10657,50,0.31692004,0,benign,0.5
192,scored_log,1778300189.625000,1778300191.655000,10618,10667,50,0.2292674,0,benign,0.5
193,scored_log,1778300191.646000,1778300194.665000,10628,10677,50,0.025113769,0,benign,0.5
194,scored_log,1778300191.646000,1778300194.665000,10638,10687,50,0.012468375,0,benign,0.5
195,scored_log,1778300191.652000,1778300194.665000,10648,10697,50,0.0021396321,0,benign,0.5
196,scored_log,1778300191.653000,1778300194.674000,10658,10707,50,0.0009233003,0,benign,0.5
197,scored_log,1778300191.655000,1778300199.685000,10668,10717,50,0.011864821,0,benign,0.5
198,scored_log,1778300194.665000,1778300199.685000,10678,10727,50,0.018831756,0,benign,0.5
199,scored_log,1778300194.665000,1778300199.686000,10688,10737,50,0.019155333,0,benign,0.5
200,scored_log,1778300194.666000,1778300199.688000,10698,10747,50,0.0007507631,0,benign,0.5
201,scored_log,1778300196.675000,1778300199.688000,10708,10757,50,0.00034599754,0,benign,0.5
202,scored_log,1778300199.685000,1778300199.688000,10718,10767,50,0.00028934784,0,benign,0.5
