tp,tn,fp,fn,precision,recall,f1,fpr,tnr,accuracy,threshold,predicted_positive
11,21,31,0,0.2619047619047619,1.0,0.41509433962264153,0.5961538461538461,0.40384615384615385,0.5079365079365079,-0.0888550483131704,42
11,18,34,0,0.24444444444444444,1.0,0.39285714285714285,0.6538461538461539,0.34615384615384615,0.4603174603174603,-0.088869620207357,45
11,17,35,0,0.2391304347826087,1.0,0.3859649122807018,0.6730769230769231,0.3269230769230769,0.4444444444444444,-0.0904152934029138,46
11,16,36,0,0.23404255319148937,1.0,0.3793103448275862,0.6923076923076923,0.3076923076923077,0.42857142857142855,-0.0933672135542001,47
11,15,37,0,0.22916666666666666,1.0,0.37288135593220334,0.7115384615384616,0.28846153846153844,0.4126984126984127,-0.0938534781667733,48
11,14,38,0,0.22448979591836735,1.0,0.36666666666666664,0.7307692307692307,0.2692307692307692,0.3968253968253968,-0.1068907385319863,49
11,13,39,0,0.22,1.0,0.36065573770491804,0.75,0.25,0.38095238095238093,-0.1081377497094393,50
11,12,40,0,0.21568627450980393,1.0,0.3548387096774193,0.7692307692307693,0.23076923076923078,0.36507936507936506,-0.1095999935230193,51
11,11,41,0,0.21153846153846154,1.0,0.34920634920634924,0.7884615384615384,0.21153846153846154,0.3492063492063492,-0.1140343951408745,52
11,10,42,0,0.20754716981132076,1.0,0.34375000000000006,0.8076923076923077,0.19230769230769232,0.3333333333333333,-0.1172191418526182,53
11,9,43,0,0.2037037037037037,1.0,0.3384615384615384,0.8269230769230769,0.17307692307692307,0.31746031746031744,-0.1183477591448332,54
11,8,44,0,0.2,1.0,0.33333333333333337,0.8461538461538461,0.15384615384615385,0.30158730158730157,-0.1185516204367723,55
11,7,45,0,0.19642857142857142,1.0,0.3283582089552239,0.8653846153846154,0.1346153846153846,0.2857142857142857,-0.1193579916271159,56
11,6,46,0,0.19298245614035087,1.0,0.3235294117647059,0.8846153846153846,0.11538461538461539,0.2698412698412698,-0.1216973729520811,57
11,5,47,0,0.1896551724137931,1.0,0.3188405797101449,0.9038461538461539,0.09615384615384616,0.25396825396825395,-0.1219992039349591,58
11,4,48,0,0.1864406779661017,1.0,0.3142857142857143,0.9230769230769231,0.07692307692307693,0.23809523809523808,-0.1228871697368699,59
11,3,49,0,0.18333333333333332,1.0,0.30985915492957744,0.9423076923076923,0.057692307692307696,0.2222222222222222,-0.1267577804684908,60
11,2,50,0,0.18032786885245902,1.0,0.3055555555555556,0.9615384615384616,0.038461538461538464,0.20634920634920634,-0.1285391781023693,61
11,1,51,0,0.1774193548387097,1.0,0.3013698630136986,0.9807692307692307,0.019230769230769232,0.19047619047619047,-0.1296992615029987,62
11,0,52,0,0.1746031746031746,1.0,0.29729729729729726,1.0,0.0,0.1746031746031746,-0.1325435603296314,63
