tp,tn,fp,fn,precision,recall,f1,fpr,tnr,accuracy,threshold,predicted_positive
121,343,318,0,0.275626423690205,1.0,0.4321428571428571,0.481089258698941,0.518910741301059,0.5933503836317136,0.00010893939,439
121,342,319,0,0.275,1.0,0.4313725490196079,0.4826021180030257,0.5173978819969742,0.592071611253197,0.00010838276,440
121,341,320,0,0.2743764172335601,1.0,0.4306049822064057,0.48411497730711045,0.5158850226928896,0.5907928388746803,0.00010780204,441
121,340,321,0,0.2737556561085973,1.0,0.4298401420959148,0.4856278366111952,0.5143721633888049,0.5895140664961637,0.00010776792,442
121,339,322,0,0.27313769751693,1.0,0.42907801418439717,0.48714069591527986,0.5128593040847201,0.5882352941176471,0.00010776114,443
121,338,323,0,0.2725225225225225,1.0,0.4283185840707964,0.4886535552193646,0.5113464447806354,0.5869565217391305,0.00010776073,444
121,337,324,0,0.27191011235955054,1.0,0.4275618374558303,0.49016641452344933,0.5098335854765507,0.5856777493606138,0.00010775066,445
121,336,325,0,0.2713004484304933,1.0,0.4268077601410935,0.491679273827534,0.5083207261724659,0.5843989769820972,0.000107736174,446
121,335,326,0,0.27069351230425054,1.0,0.42605633802816895,0.49319213313161875,0.5068078668683812,0.5831202046035806,0.00010755141,447
121,334,327,0,0.2700892857142857,1.0,0.4253075571177505,0.4947049924357035,0.5052950075642966,0.5818414322250639,0.000107546184,448
121,333,328,0,0.26948775055679286,1.0,0.42456140350877186,0.4962178517397882,0.5037821482602118,0.5805626598465473,0.00010754515,449
121,332,329,0,0.2688888888888889,1.0,0.4238178633975482,0.4977307110438729,0.5022692889561271,0.5792838874680307,0.00010753357,450
121,331,330,0,0.2682926829268293,1.0,0.4230769230769231,0.49924357034795763,0.5007564296520424,0.578005115089514,0.00010733165,451
121,330,331,0,0.2676991150442478,1.0,0.4223385689354276,0.5007564296520424,0.49924357034795763,0.5767263427109974,0.00010635369,452
121,329,332,0,0.2671081677704194,1.0,0.42160278745644597,0.5022692889561271,0.4977307110438729,0.5754475703324808,0.00010550581,453
121,328,333,0,0.2665198237885463,1.0,0.42086956521739133,0.5037821482602118,0.4962178517397882,0.5741687979539642,0.00010531673,454
121,327,334,0,0.26593406593406593,1.0,0.4201388888888889,0.5052950075642966,0.4947049924357035,0.5728900255754475,0.00010515045,455
121,326,335,0,0.26535087719298245,1.0,0.4194107452339688,0.5068078668683812,0.49319213313161875,0.571611253196931,0.00010512378,456
121,325,336,0,0.2647702407002188,1.0,0.4186851211072664,0.5083207261724659,0.491679273827534,0.5703324808184144,0.00010470291,457
121,324,337,0,0.26419213973799127,1.0,0.4179620034542314,0.5098335854765507,0.49016641452344933,0.5690537084398977,0.000104548366,458
121,323,338,0,0.2636165577342048,1.0,0.4172413793103448,0.5113464447806354,0.4886535552193646,0.5677749360613811,0.00010452214,459
