sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold
107,scored_log,1778298988.228000,1778298989.255000,9768,9817,50,0.0077575482,0,benign,0.5
108,scored_log,1778298988.228000,1778298989.255000,9778,9827,50,0.008592436,0,benign,0.5
109,scored_log,1778298988.231000,1778298989.256000,9788,9837,50,0.009441938,0,benign,0.5
110,scored_log,1778298988.237000,1778298989.262000,9798,9847,50,0.0013469144,0,benign,0.5
111,scored_log,1778298988.250000,1778298989.263000,9808,9857,50,0.0012191667,0,benign,0.5
112,scored_log,1778298989.255000,1778298989.266000,9818,9867,50,0.001158195,0,benign,0.5
113,scored_log,1778298989.255000,1778298989.266000,9828,9877,50,0.00092608784,0,benign,0.5
114,scored_log,1778298989.256000,1778298989.268000,9838,9887,50,0.0006562771,0,benign,0.5
115,scored_log,1778298989.262000,1778298989.273000,9848,9897,50,0.0010860189,0,benign,0.5
116,scored_log,1778298989.263000,1778298989.278000,9858,9907,50,0.001044189,0,benign,0.5
117,scored_log,1778298989.266000,1778298989.282000,9868,9917,50,0.0008009571,0,benign,0.5
118,scored_log,1778298989.267000,1778298989.285000,9878,9927,50,0.0012979085,0,benign,0.5
119,scored_log,1778298989.268000,1778298989.289000,9888,9937,50,0.00071272644,0,benign,0.5
120,scored_log,1778298989.273000,1778298992.294000,9898,9947,50,0.004761437,0,benign,0.5
121,scored_log,1778298989.278000,1778298992.295000,9908,9957,50,0.008706733,0,benign,0.5
122,scored_log,1778298989.282000,1778298992.295000,9918,9967,50,0.010187289,0,benign,0.5
123,scored_log,1778298989.285000,1778298992.314000,9928,9977,50,0.0040858863,0,benign,0.5
124,scored_log,1778298989.289000,1778298994.529000,9938,9987,50,0.0014587658,0,benign,0.5
125,scored_log,1778298992.294000,1778298996.545000,9948,9997,50,0.010519811,0,benign,0.5
126,scored_log,1778298992.295000,1778298996.545000,9958,10007,50,0.010941543,0,benign,0.5
127,scored_log,1778298992.295000,1778298996.548000,9968,10017,50,0.011568346,0,benign,0.5
128,scored_log,1778298992.314000,1778298996.559000,9978,10027,50,0.00030161484,0,benign,0.5
129,scored_log,1778298994.529000,1778298996.572000,9988,10037,50,0.00021713121,0,benign,0.5
130,scored_log,1778298996.545000,1778298996.584000,9998,10047,50,0.00018295215,0,benign,0.5
131,scored_log,1778298996.545000,1778298996.597000,10008,10057,50,0.0001706279,0,benign,0.5
132,scored_log,1778298996.548000,1778298996.608000,10018,10067,50,0.00016470808,0,benign,0.5
133,scored_log,1778298996.560000,1778298996.621000,10028,10077,50,0.00016344957,0,benign,0.5
134,scored_log,1778298996.573000,1778298996.633000,10038,10087,50,0.00016354173,0,benign,0.5
135,scored_log,1778298996.585000,1778298996.645000,10048,10097,50,0.00016340299,0,benign,0.5
136,scored_log,1778298996.598000,1778298996.657000,10058,10107,50,0.00016344148,0,benign,0.5
137,scored_log,1778298996.610000,1778298996.669000,10068,10117,50,0.0001634622,0,benign,0.5
138,scored_log,1778298996.622000,1778298996.681000,10078,10127,50,0.00016355606,0,benign,0.5
139,scored_log,1778298996.634000,1778298996.693000,10088,10137,50,0.00016391343,0,benign,0.5
140,scored_log,1778298996.646000,1778298996.703000,10098,10147,50,0.00031952208,0,benign,0.5
141,scored_log,1778298996.658000,1778298996.704000,10108,10157,50,0.00058250816,0,benign,0.5
142,scored_log,1778298996.670000,1778298996.704000,10118,10167,50,0.00067448197,0,benign,0.5
143,scored_log,1778298996.682000,1778298999.709000,10128,10177,50,0.0056082276,0,benign,0.5
144,scored_log,1778298996.695000,1778298999.709000,10138,10187,50,0.008352997,0,benign,0.5
145,scored_log,1778298996.703000,1778298999.712000,10148,10197,50,0.0089957435,0,benign,0.5
146,scored_log,1778298996.704000,1778298999.717000,10158,10206,50,0.0040812865,0,benign,0.5
147,scored_log,1778298996.704000,1778298999.726000,10168,10217,50,0.0002867294,0,benign,0.5
148,scored_log,1778298999.709000,1778299001.730000,10178,10227,50,0.009272945,0,benign,0.5
149,scored_log,1778298999.709000,1778299001.730000,10188,10237,50,0.010120342,0,benign,0.5
150,scored_log,1778298999.712000,1778299001.735000,10198,10247,50,0.0015488724,0,benign,0.5
151,scored_log,1778298999.718000,1778299001.780000,10208,10257,50,0.0015525218,0,benign,0.5
152,scored_log,1778299001.729000,1778299003.705000,10218,10267,50,0.0072522997,0,benign,0.5
153,scored_log,1778299001.730000,1778299003.708000,10228,10277,50,0.0005470586,0,benign,0.5
154,scored_log,1778299001.730000,1778299003.872000,10238,10287,50,0.000535968,0,benign,0.5
155,scored_log,1778299001.752000,1778299004.978000,10248,10297,50,0.0059501017,0,benign,0.5
156,scored_log,1778299001.780000,1778299004.978000,10258,10307,50,0.009526138,0,benign,0.5
157,scored_log,1778299003.705000,1778299004.980000,10268,10317,50,0.009228159,0,benign,0.5
158,scored_log,1778299003.710000,1778299004.985000,10278,10327,50,0.0013452678,0,benign,0.5
159,scored_log,1778299003.872000,1778299004.992000,10288,10337,50,0.00040698957,0,benign,0.5
