sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold,iforest_overlap_count,iforest_window_ids,iforest_max_anomaly_score,iforest_mean_anomaly_score,iforest_max_anomaly_score_norm,iforest_any_anomaly,combined_score,combined_reason,combined_alert,combined_threshold
64,scored_log,1778298973.639000,1778298973.657000,9338,9387,50,0.013784587383270264,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.2710598325657129,iforest_only,0,0.310117
181,scored_log,1778299018.060000,1778299021.090000,10508,10557,50,0.1633683443069458,0,benign,0.5,1,18,0.0022444832207405563,0.0022444832207405563,0.5171744066859412,1,0.26951016302064446,iforest_only,0,0.310117
62,scored_log,1778298973.630000,1778298973.648000,9318,9367,50,0.010795988142490387,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.268967813097167,iforest_only,0,0.310117
67,scored_log,1778298973.648000,1778298977.976000,9368,9417,50,0.010430769063532352,0,benign,0.5,2,13|14,0.10144656631688442,0.010571664369932815,0.8713687379914123,1,0.2687121597418964,iforest_only,0,0.310117
59,scored_log,1778298973.623000,1778298973.639000,9288,9337,50,0.008929722011089325,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.26766142680518623,iforest_only,0,0.310117
66,scored_log,1778298973.647000,1778298977.976000,9358,9407,50,0.007656920235604048,0,benign,0.5,2,13|14,0.10144656631688442,0.010571664369932815,0.8713687379914123,1,0.26677046556234657,iforest_only,0,0.310117
61,scored_log,1778298973.629000,1778298973.647000,9308,9357,50,0.0075731826946139336,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.2667118492836535,iforest_only,0,0.310117
52,scored_log,1778298969.272000,1778298969.343000,9218,9267,50,0.006556573323905468,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.2660002227241575,iforest_only,0,0.310117
65,scored_log,1778298973.642000,1778298973.818000,9348,9397,50,0.005554300267249346,0,benign,0.5,2,13|14,0.10144656631688442,0.010571664369932815,0.8713687379914123,1,0.26529863158449823,iforest_only,0,0.310117
670,scored_log,1778299234.904000,1778299237.923000,15398,15447,50,0.1285085827112198,0,benign,0.5,1,40,0.02004073860733868,0.02004073860733868,0.580714733457996,1,0.2641704279352527,iforest_only,0,0.310117
58,scored_log,1778298973.616000,1778298973.638000,9278,9327,50,0.0035703852772712708,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.2639098910915136,iforest_only,0,0.310117
63,scored_log,1778298973.638000,1778298973.649000,9328,9377,50,0.0030471121426671743,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.26354359989729076,iforest_only,0,0.310117
45,scored_log,1778298968.607000,1778298969.223000,9148,9197,50,0.002486968645825982,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.2631514994495019,iforest_only,0,0.310117
60,scored_log,1778298973.627000,1778298973.641000,9298,9347,50,0.0018678149208426476,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.26271809184201356,iforest_only,0,0.310117
68,scored_log,1778298973.650000,1778298977.978000,9378,9427,50,0.0017820206703618169,0,benign,0.5,2,13|14,0.10144656631688442,0.010571664369932815,0.8713687379914123,1,0.26265803586667696,iforest_only,0,0.310117
69,scored_log,1778298973.697000,1778298977.984000,9388,9437,50,0.0012975229183211923,0,benign,0.5,2,13|14,0.10144656631688442,0.010571664369932815,0.8713687379914123,1,0.26231888744024856,iforest_only,0,0.310117
46,scored_log,1778298968.620000,1778298969.257000,9158,9207,50,0.0005872569163329899,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.2618217012388568,iforest_only,0,0.310117
47,scored_log,1778298968.633000,1778298969.271000,9168,9217,50,0.00012185904779471457,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.26149592273088,iforest_only,0,0.310117
51,scored_log,1778298969.259000,1778298969.305000,9208,9257,50,0.0001217316385009326,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.2614958335443744,iforest_only,0,0.310117
50,scored_log,1778298969.223000,1778298969.302000,9198,9247,50,0.0001215525480802171,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.26149570818107987,iforest_only,0,0.310117
48,scored_log,1778298968.668000,1778298969.284000,9178,9227,50,7.707647455390543e-05,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.26146457492961145,iforest_only,0,0.310117
44,scored_log,1778298968.489000,1778298968.678000,9138,9187,50,6.876162660773844e-05,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.2614587545360491,iforest_only,0,0.310117
49,scored_log,1778298968.680000,1778298969.293000,9188,9237,50,6.771579501219094e-05,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.26145802245393224,iforest_only,0,0.310117
43,scored_log,1778298968.456000,1778298968.666000,9128,9177,50,5.493221033248119e-05,0,benign,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.26144907394465644,iforest_only,0,0.310117
1245,scored_log,1778299421.077000,1778299423.104000,21148,21197,50,0.11876954138278961,0,benign,0.5,1,58,0.007384168045744821,0.007384168045744821,0.5355253038939054,1,0.24379627013612437,iforest_only,0,0.310117
666,scored_log,1778299234.895000,1778299234.910000,15358,15407,50,0.09643342345952988,0,benign,0.5,1,40,0.02004073860733868,0.02004073860733868,0.580714733457996,1,0.24171781645906973,iforest_only,0,0.310117
1241,scored_log,1778299421.066000,1778299421.090000,21108,21157,50,0.0951453149318695,0,benign,0.5,1,58,0.007384168045744821,0.007384168045744821,0.5355253038939054,1,0.2272593116204803,iforest_only,0,0.310117
1499,scored_log,1778299501.742000,1778299509.765000,23688,23737,50,0.012350017204880714,0,benign,0.5,2,66|67,0.060913077100700486,-0.028597199869089707,0.7266466549431193,1,0.22663900852635233,iforest_only,0,0.310117
1445,scored_log,1778299492.632000,1778299496.652000,23148,23197,50,0.012239515781402588,0,benign,0.5,2,65|66,0.060913077100700486,-0.02778135400293333,0.7266466549431193,1,0.22656165752991764,iforest_only,0,0.310117
1498,scored_log,1778299501.736000,1778299509.764000,23678,23727,50,0.012077908962965012,0,benign,0.5,2,66|67,0.060913077100700486,-0.028597199869089707,0.7266466549431193,1,0.22644853275701132,iforest_only,0,0.310117
1446,scored_log,1778299492.632000,1778299496.654000,23158,23207,50,0.010286806151270866,0,benign,0.5,2,65|66,0.060913077100700486,-0.02778135400293333,0.7266466549431193,1,0.22519476078882544,iforest_only,0,0.310117
1444,scored_log,1778299489.535000,1778299496.652000,23138,23187,50,0.009831258095800877,0,benign,0.5,2,65|66,0.060913077100700486,-0.02778135400293333,0.7266466549431193,1,0.22487587714999643,iforest_only,0,0.310117
1483,scored_log,1778299497.672000,1778299498.692000,23528,23577,50,0.00982437189668417,0,benign,0.5,1,66,0.060913077100700486,0.060913077100700486,0.7266466549431193,1,0.22487105681061476,iforest_only,0,0.310117
1478,scored_log,1778299496.658000,1778299497.672000,23478,23527,50,0.009499427862465382,0,benign,0.5,1,66,0.060913077100700486,0.060913077100700486,0.7266466549431193,1,0.2246435959866616,iforest_only,0,0.310117
1482,scored_log,1778299497.671000,1778299498.690000,23518,23567,50,0.008767091669142246,0,benign,0.5,1,66,0.060913077100700486,0.060913077100700486,0.7266466549431193,1,0.2241309606513354,iforest_only,0,0.310117
1477,scored_log,1778299496.658000,1778299497.671000,23468,23517,50,0.008459070697426796,0,benign,0.5,1,66,0.060913077100700486,0.060913077100700486,0.7266466549431193,1,0.22391534597113458,iforest_only,0,0.310117
1490,scored_log,1778299498.706000,1778299501.721000,23598,23647,50,0.008398550562560558,0,benign,0.5,1,66,0.060913077100700486,0.060913077100700486,0.7266466549431193,1,0.22387298187672822,iforest_only,0,0.310117
1481,scored_log,1778299497.671000,1778299498.690000,23508,23557,50,0.008175736293196678,0,benign,0.5,1,66,0.060913077100700486,0.060913077100700486,0.7266466549431193,1,0.2237170118881735,iforest_only,0,0.310117
1497,scored_log,1778299501.730000,1778299509.764000,23668,23717,50,0.007792199961841106,0,benign,0.5,2,66|67,0.060913077100700486,-0.028597199869089707,0.7266466549431193,1,0.2234485364562246,iforest_only,0,0.310117
1491,scored_log,1778299499.714000,1778299501.723000,23608,23657,50,0.007189280353486538,0,benign,0.5,1,66,0.060913077100700486,0.060913077100700486,0.7266466549431193,1,0.2230264927303764,iforest_only,0,0.310117
1489,scored_log,1778299498.697000,1778299501.721000,23588,23637,50,0.007111694663763046,0,benign,0.5,1,66,0.060913077100700486,0.060913077100700486,0.7266466549431193,1,0.22297218274756997,iforest_only,0,0.310117
1476,scored_log,1778299496.658000,1778299497.671000,23458,23507,50,0.003915357403457165,0,benign,0.5,1,66,0.060913077100700486,0.060913077100700486,0.7266466549431193,1,0.22073474666535584,iforest_only,0,0.310117
1896,scored_log,1778299624.539000,1778299626.560000,27658,27707,50,0.01113914418965578,0,benign,0.5,1,79,0.05545555850128869,0.05545555850128869,0.7071609537302486,1,0.21994568705183365,iforest_only,0,0.310117
1892,scored_log,1778299620.360000,1778299624.541000,27618,27667,50,0.010903124697506428,0,benign,0.5,2,78|79,0.05545555850128869,-0.018448210589319586,0.7071609537302486,1,0.2197804734073291,iforest_only,0,0.310117
